Paralogue_Pair1,RCC_scA,RCC_scB,Duplication type1,9_Supercluster_Class,36_RCC_Class,scA_RCC-u?,scB_RCC-u?,Morphological Differentiation2,Ka,Ks,Ka/Ks,scA_Orthogroup3,scB_paralogue3,scA_Orthogroup_rank3,scB_Orthogroup_rank3,Pair_Orthogroup_rank,scA_subgenome4,scB_subgenome4
AT1G49210/AT1G49220,AT1G49210,AT1G49220,tandem,1,1,no,no,NA,0.074673024,0.235047974,0.317692694,NA,NA,NA,NA,NA,?,?
AT1G49220/AT1G49230,AT1G49220,AT1G49230,tandem,1,1,no,no,NA,0.445470455,1.74104895,0.255863257,NA,ORTHO002968,NA,4450,4450,?,?
AT1G49650/AT1G49640,AT1G49650,AT1G49640,tandem,3,3,no,no,NA,0.174444143,0.519511791,0.335784761,NA,NA,NA,NA,NA,?,?
AT1G49660/AT1G49650,AT1G49660,AT1G49650,tandem,2,3,yes,no,NA,0.150535683,0.416173649,0.361713634,NA,NA,NA,NA,NA,?,?
AT1G50060/AT1G50050,AT1G50060,AT1G50050,tandem,3,3,no,no,NA,0.233144412,0.286283267,0.814383651,NA,NA,NA,NA,NA,?,?
AT1G50110/AT1G50090,AT1G50110,AT1G50090,tandem,3,3,no,no,NA,0.094173654,0.436899288,0.215550028,NA,NA,NA,NA,NA,?,?
AT1G50325/AT1G50340,AT1G50325,AT1G50340,tandem,0,0,no,no,NA,0.15976978,0.230711433,0.692509154,NA,NA,NA,NA,NA,?,?
AT1G50750/AT1G50760,AT1G50750,AT1G50760,tandem,0,0,no,no,NA,0.74170295,0.161562539,4.59081018,NA,NA,NA,NA,NA,?,?
AT1G50760/AT1G50770,AT1G50760,AT1G50770,tandem,0,0,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G50790/AT1G50800,AT1G50790,AT1G50800,tandem,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G50820/AT1G50830,AT1G50820,AT1G50830,tandem,0,0,no,no,NA,0.768297777,1.173430038,0.654745278,NA,NA,NA,NA,NA,?,?
AT1G50870/AT1G50880,AT1G50870,AT1G50880,tandem,0,0,no,no,NA,0.495017954,0.613947471,0.806287146,NA,NA,NA,NA,NA,?,?
AT1G51010/AT1G51020,AT1G51010,AT1G51020,tandem,1,1,no,no,NA,0.086077343,0.085961602,1.001346433,NA,NA,NA,NA,NA,?,?
AT1G51020/AT1G51030,AT1G51020,AT1G51030,tandem,1,1,no,no,NA,0.193646392,0.182020264,1.063872713,NA,NA,NA,NA,NA,?,?
AT1G51230/AT1G51240,AT1G51230,AT1G51240,tandem,1,1,no,no,NA,0.185942815,0.388888477,0.478139174,NA,NA,NA,NA,NA,?,?
AT1G51240/AT1G51250,AT1G51240,AT1G51250,tandem,1,1,no,no,NA,0.064021785,0.324619471,0.197221027,NA,NA,NA,NA,NA,?,?
AT1G51520/AT1G51530,AT1G51520,AT1G51530,tandem,3,1,no,no,NA,0.409881516,0.447930301,0.915056461,ORTHO000522,NA,1843,NA,1843,B,?
AT1G51790/AT1G51800,AT1G51790,AT1G51800,tandem,2,2,no,no,NA,0.508983301,5.812444298,0.087567859,NA,NA,NA,NA,NA,?,?
AT1G51805/AT1G51810,AT1G51805,AT1G51810,tandem,1,1,no,no,NA,0.233702067,0.703850436,0.332033704,NA,NA,NA,NA,NA,?,?
AT1G51810/AT1G51820,AT1G51810,AT1G51820,tandem,2,2,no,no,NA,0.21196937,0.628928574,0.337032501,NA,NA,NA,NA,NA,?,?
AT1G51850/AT1G51840,AT1G51850,AT1G51840,tandem,3,3,no,no,NA,0.25978688,0.104723722,2.480687994,NA,NA,NA,NA,NA,?,?
AT1G51860/AT1G51870,AT1G51860,AT1G51870,tandem,3,3,no,no,NA,0.117873577,0.336040578,0.350771855,NA,NA,NA,NA,NA,?,?
AT1G51870/AT1G51880,AT1G51870,AT1G51880,tandem,3,2,no,no,NA,0.164796403,0.425505078,0.387295972,NA,NA,NA,NA,NA,?,?
AT1G51880/AT1G51890,AT1G51880,AT1G51890,tandem,1,1,no,no,NA,0.173236693,0.445367338,0.388974849,NA,NA,NA,NA,NA,?,?
AT1G52000/AT1G52030,AT1G52000,AT1G52030,tandem,0,0,no,no,NA,0.868280468,1.322334566,0.656626916,NA,NA,NA,NA,NA,?,?
AT1G52030/AT1G52040,AT1G52030,AT1G52040,tandem,1,1,no,no,NA,0.234667455,0.364347497,0.644075937,NA,NA,NA,NA,NA,?,?
AT1G52050/AT1G52060,AT1G52050,AT1G52060,tandem,2,2,no,yes,NA,0.179019749,0.655120127,0.273262478,NA,NA,NA,NA,NA,?,?
AT1G52070/AT1G52060,AT1G52070,AT1G52060,tandem,3,3,yes,yes,NA,0.095855058,0.351002555,0.273089345,NA,NA,NA,NA,NA,?,?
AT1G52120/AT1G52130,AT1G52120,AT1G52130,tandem,1,1,no,no,NA,0.328463632,0.554771892,0.592069708,NA,NA,NA,NA,NA,?,?
AT1G52460/AT1G52470,AT1G52460,AT1G52470,tandem,1,1,no,no,NA,0.38044464,0.272020346,1.39858891,NA,NA,NA,NA,NA,?,?
AT1G52700/AT1G52695,AT1G52700,AT1G52695,tandem,1,1,no,no,NA,0.399799918,0.516899933,0.773457091,ORTHO005765,NA,1823,NA,1823,?,?
AT1G52790/AT1G52800,AT1G52790,AT1G52800,tandem,1,1,no,no,NA,0.456996824,2.538438797,0.180030665,NA,NA,NA,NA,NA,?,?
AT1G52800/AT1G52810,AT1G52800,AT1G52810,tandem,1,1,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G52810/AT1G52820,AT1G52810,AT1G52820,tandem,1,1,no,no,NA,0.329818447,0.878473,0.375445172,NA,ORTHO002626,NA,6667,6667,?,?
AT1G53025/AT1G53023,AT1G53025,AT1G53023,tandem,1,1,no,no,NA,0.220708472,0.248146236,0.889429052,ORTHO001495,NA,1469,NA,1469,?,?
AT1G53060/AT1G53070,AT1G53060,AT1G53070,tandem,3,3,no,no,NA,0.201049337,0.541894236,0.371012134,NA,NA,NA,NA,NA,?,?
AT1G53070/AT1G53080,AT1G53070,AT1G53080,tandem,3,3,no,no,NA,0.239953859,0.883936664,0.271460466,NA,NA,NA,NA,NA,?,?
AT1G53282/AT1G53285,AT1G53282,AT1G53285,tandem,0,0,no,no,NA,0.032525422,0.140212778,0.231971881,NA,NA,NA,NA,NA,?,?
AT1G53430/AT1G53420,AT1G53430,AT1G53420,tandem,3,3,no,no,NA,0.487615888,2.682843965,0.181753354,NA,NA,NA,NA,NA,?,?
AT1G53430/AT1G53440,AT1G53430,AT1G53440,tandem,3,3,no,no,NA,0.061734313,0.229390452,0.269123288,NA,NA,NA,NA,NA,?,?
AT1G53620/AT1G53610,AT1G53620,AT1G53610,tandem,3,3,no,no,NA,0.315489807,0.324806938,0.971314864,NA,NA,NA,NA,NA,?,?
AT1G53870/AT1G53880,AT1G53870,AT1G53880,tandem,0,0,no,no,NA,1.72751112,0.955740517,1.807510605,NA,ORTHO004199,NA,2071,2071,?,?
AT1G53890/AT1G53900,AT1G53890,AT1G53900,tandem,1,1,no,no,NA,0.302377989,0.263910646,1.145758964,NA,ORTHO004199,NA,2071,2071,?,?
AT1G54000/AT1G54010,AT1G54000,AT1G54010,tandem,3,3,yes,no,NA,0.058315743,0.162571283,0.358708758,NA,NA,NA,NA,NA,?,?
AT1G54010/AT1G54020,AT1G54010,AT1G54020,tandem,3,3,no,no,NA,0.185929497,1.047260967,0.177538839,NA,NA,NA,NA,NA,?,?
AT1G54030/AT1G54020,AT1G54030,AT1G54020,tandem,3,3,yes,no,NA,0.682825375,1.943555695,0.351327917,NA,NA,NA,NA,NA,?,?
AT1G54230/AT1G54240,AT1G54230,AT1G54240,tandem,0,0,no,no,NA,0.847928332,0.850805901,0.996617832,NA,NA,NA,NA,NA,?,?
AT1G54840/AT1G54850,AT1G54840,AT1G54850,tandem,3,2,no,no,NA,0.885563245,0.955234179,0.927064028,NA,NA,NA,NA,NA,?,?
AT1G55240/AT1G55230,AT1G55240,AT1G55230,tandem,3,3,no,no,NA,0.19881021,0.714896467,0.278096507,ORTHO003054,ORTHO003054,4297,4297,4297,?,?
AT1G55380/AT1G55390,AT1G55380,AT1G55390,tandem,3,2,no,no,NA,0.182884981,0.372016537,0.491604438,NA,NA,NA,NA,NA,?,?
AT1G55390/AT1G55420,AT1G55390,AT1G55420,tandem,2,2,no,no,NA,0.225331134,0.408125494,0.55211237,NA,NA,NA,NA,NA,?,?
AT1G55420/AT1G55430,AT1G55420,AT1G55430,tandem,2,2,no,no,NA,0.193841422,0.26561561,0.729781741,NA,NA,NA,NA,NA,?,?
AT1G55430/AT1G55440,AT1G55430,AT1G55440,tandem,2,2,no,no,NA,0.269082274,0.311964072,0.862542513,NA,NA,NA,NA,NA,?,?
AT1G55560/AT1G55570,AT1G55560,AT1G55570,tandem,0,0,no,no,NA,0.17563447,1.487229782,0.118095046,NA,NA,NA,NA,NA,?,?
AT1G55730/AT1G55720,AT1G55730,AT1G55720,tandem,3,3,yes,no,NA,0.065669414,0.255408055,0.257115673,ORTHO000863,ORTHO000863,4028,4028,4028,B,?
AT1G55790/AT1G55800,AT1G55790,AT1G55800,tandem,1,1,no,no,NA,0.617100599,0.613909799,1.005197505,NA,NA,NA,NA,NA,?,?
AT1G56030/AT1G56040,AT1G56030,AT1G56040,tandem,0,0,no,no,NA,0.201327151,0.39502423,0.509657727,NA,NA,NA,NA,NA,?,?
AT1G56120/AT1G56130,AT1G56120,AT1G56130,tandem,2,2,no,no,NA,0.073616722,0.247311938,0.297667483,NA,NA,NA,NA,NA,?,?
AT1G56140/AT1G56145,AT1G56140,AT1G56145,tandem,2,2,no,no,NA,0.216697922,0.9418057,0.230087715,NA,NA,NA,NA,NA,?,?
AT1G56140/AT1G56130,AT1G56140,AT1G56130,tandem,3,3,no,no,NA,0.060410698,0.211959055,0.28501117,NA,NA,NA,NA,NA,?,?
AT1G56240/AT1G56250,AT1G56240,AT1G56250,tandem,2,3,no,no,NA,0.044433934,0.309831343,0.143413295,NA,NA,NA,NA,NA,?,?
AT1G56510/AT1G56520,AT1G56510,AT1G56520,tandem,1,0,no,no,NA,0.275330664,0.346967641,0.793534127,NA,NA,NA,NA,NA,?,?
AT1G57775/AT1G57777,AT1G57775,AT1G57777,tandem,0,0,no,no,NA,0.01506642,0.040098636,0.375733979,NA,NA,NA,NA,NA,?,?
AT1G57820/AT1G57800,AT1G57820,AT1G57800,tandem,1,1,no,no,NA,0.141220066,0.427657959,0.330217323,ORTHO001275,ORTHO001275,7702,7702,7702,?,?
AT1G57830/AT1G57850,AT1G57830,AT1G57850,tandem,1,1,no,no,NA,0.316260077,1.016733827,0.311054938,NA,NA,NA,NA,NA,?,?
AT1G57943/AT1G57980,AT1G57943,AT1G57980,tandem,2,1,no,no,NA,0.114992286,0.226176414,0.508418556,NA,NA,NA,NA,NA,?,?
AT1G57990/AT1G57980,AT1G57990,AT1G57980,tandem,3,3,yes,no,NA,0.111555672,0.231352683,0.482188796,NA,NA,NA,NA,NA,?,?
AT1G58245/AT1G58248,AT1G58245,AT1G58248,tandem,0,0,no,no,NA,0.009864507,0.03804302,0.259298741,NA,NA,NA,NA,NA,?,?
AT1G58260/AT1G58265,AT1G58260,AT1G58265,tandem,1,1,no,no,NA,0.39436742,0.145784642,2.705136943,NA,NA,NA,NA,NA,?,?
AT1G58400/AT1G58390,AT1G58400,AT1G58390,tandem,1,1,no,no,NA,0.207353225,0.416173235,0.498237771,NA,NA,NA,NA,NA,?,?
AT1G58400/AT1G58410,AT1G58400,AT1G58410,tandem,2,2,no,no,NA,0.186698069,0.398583438,0.46840398,NA,NA,NA,NA,NA,?,?
AT1G58807/AT1G58848,AT1G58807,AT1G58848,tandem,1,1,no,no,NA,0.058944584,0.067855773,0.86867457,NA,NA,NA,NA,NA,?,?
AT1G59790/AT1G59800,AT1G59790,AT1G59800,tandem,1,1,no,no,NA,0.291904338,0.314159863,0.929158597,NA,NA,NA,NA,NA,?,?
AT1G59920/AT1G59930,AT1G59920,AT1G59930,tandem,0,0,no,no,NA,0.009756235,0.023485285,0.415419068,NA,NA,NA,NA,NA,?,?
AT1G59960/AT1G59950,AT1G59960,AT1G59950,tandem,3,3,yes,no,NA,0.077454428,0.686278788,0.112861463,ORTHO000509,ORTHO000509,9065,9065,9065,?,?
AT1G60095/AT1G60110,AT1G60095,AT1G60110,tandem,3,2,no,no,NA,0.175520433,0.349269242,0.502536187,NA,NA,NA,NA,NA,?,?
AT1G60130/AT1G60110,AT1G60130,AT1G60110,tandem,3,3,no,no,NA,0.179015998,0.296027469,0.604727659,NA,NA,NA,NA,NA,?,?
AT1G60260/AT1G60270,AT1G60260,AT1G60270,tandem,3,1,no,no,NA,0.213826069,0.326539116,0.654825283,ORTHO000353_1,ORTHO000353_1,9029,9029,9029,?,?
AT1G60280/AT1G60300,AT1G60280,AT1G60300,tandem,0,0,no,no,NA,0.221147323,0.270226256,0.818378373,NA,NA,NA,NA,NA,?,?
AT1G60340/AT1G60350,AT1G60340,AT1G60350,tandem,0,0,no,no,NA,0.173085912,0.266505541,0.649464591,NA,NA,NA,NA,NA,?,?
AT1G60400/AT1G60410,AT1G60400,AT1G60410,tandem,0,0,no,no,NA,0.301514226,0.447444334,0.67385863,NA,NA,NA,NA,NA,?,?
AT1G60500/AT1G60530,AT1G60500,AT1G60530,tandem,1,1,no,no,NA,0.134873844,0.317277274,0.425097714,ORTHO001027,ORTHO001027,9162,9162,9162,?,?
AT1G60680/AT1G60690,AT1G60680,AT1G60690,tandem,3,3,no,no,NA,0.083254586,0.42495788,0.195912559,ORTHO000759,ORTHO000759,9096,9096,9096,?,?
AT1G60983/AT1G60985,AT1G60983,AT1G60985,tandem,1,1,no,no,NA,0.451604536,0.530379492,0.851474355,NA,NA,NA,NA,NA,?,?
AT1G60985/AT1G60986,AT1G60985,AT1G60986,tandem,2,1,no,no,NA,0.194798452,0.31291941,0.622519554,NA,NA,NA,NA,NA,?,?
AT1G60986/AT1G60987,AT1G60986,AT1G60987,tandem,2,0,no,no,NA,0.175311368,0.22891477,0.76583686,NA,NA,NA,NA,NA,?,?
AT1G61090/AT1G61093,AT1G61090,AT1G61093,tandem,0,0,no,no,NA,0.340902414,0.400031513,0.852188898,NA,NA,NA,NA,NA,?,?
AT1G61093/AT1G61095,AT1G61093,AT1G61095,tandem,0,0,no,no,NA,0.079556409,0.11955074,0.665461454,NA,NA,NA,NA,NA,?,?
AT1G61095/AT1G61097,AT1G61095,AT1G61097,tandem,0,0,no,no,NA,0.318786401,0.311298886,1.024052495,NA,NA,NA,NA,NA,?,?
AT1G61180/AT1G61190,AT1G61180,AT1G61190,tandem,2,2,no,no,NA,0.092861241,0.09415918,0.986215488,NA,NA,NA,NA,NA,?,?
AT1G61300/AT1G61310,AT1G61300,AT1G61310,tandem,3,2,no,no,NA,0.072936047,0.100941669,0.722556384,NA,NA,NA,NA,NA,?,?
AT1G61320/AT1G61330,AT1G61320,AT1G61330,tandem,1,1,no,no,NA,0.195290793,0.514630047,0.379478024,NA,NA,NA,NA,NA,?,?
AT1G61360/AT1G61370,AT1G61360,AT1G61370,tandem,2,2,no,no,NA,0.238052333,0.703207245,0.338523721,NA,NA,NA,NA,NA,?,?
AT1G61370/AT1G61380,AT1G61370,AT1G61380,tandem,3,3,no,no,NA,0.218751521,0.648588704,0.337273097,NA,NA,NA,NA,NA,?,?
AT1G61380/AT1G61390,AT1G61380,AT1G61390,tandem,3,3,no,no,NA,0.12176315,0.459423132,0.265034869,NA,NA,NA,NA,NA,?,?
AT1G61430/AT1G61440,AT1G61430,AT1G61440,tandem,2,2,no,no,NA,0.075588927,0.245039435,0.308476582,NA,NA,NA,NA,NA,?,?
AT1G61475/AT1G61480,AT1G61475,AT1G61480,tandem,1,0,no,no,NA,0.201557754,0.125224627,1.609569615,NA,NA,NA,NA,NA,?,?
AT1G61480/AT1G61490,AT1G61480,AT1G61490,tandem,2,1,no,no,NA,0.097038817,0.348620212,0.278351092,NA,NA,NA,NA,NA,?,?
AT1G61500/AT1G61490,AT1G61500,AT1G61490,tandem,3,3,no,no,NA,0.129169791,0.3367936,0.383528044,NA,NA,NA,NA,NA,?,?
AT1G61563/AT1G61566,AT1G61563,AT1G61566,tandem,0,0,no,no,NA,0.092716987,0.163153924,0.568279236,NA,NA,NA,NA,NA,?,?
AT1G61820/AT1G61810,AT1G61820,AT1G61810,tandem,3,3,yes,no,NA,0.151770503,0.553986523,0.273960641,ORTHO000526,ORTHO000526,8788,8788,8788,?,?
AT1G61960/AT1G61970,AT1G61960,AT1G61970,tandem,2,2,no,no,NA,0.191121102,0.449625862,0.425066967,NA,NA,NA,NA,NA,?,?
AT1G61970/AT1G61980,AT1G61970,AT1G61980,tandem,2,2,no,no,NA,0.12772924,0.25308617,0.504686762,NA,NA,NA,NA,NA,?,?
AT1G62085/AT1G62110,AT1G62085,AT1G62110,tandem,2,2,no,no,NA,0.140899322,0.323843407,0.435084732,NA,NA,NA,NA,NA,?,?
AT1G62110/AT1G62120,AT1G62110,AT1G62120,tandem,2,2,no,no,NA,0.175050596,0.282080912,0.62056874,NA,NA,NA,NA,NA,?,?
AT1G62160/AT1G62170,AT1G62160,AT1G62170,tandem,1,1,no,no,NA,0.131858186,0.148504406,0.887907571,NA,NA,NA,NA,NA,?,?
AT1G62220/AT1G62225,AT1G62220,AT1G62225,tandem,0,0,no,no,NA,0.51939174,0.442629175,1.173424097,NA,NA,NA,NA,NA,?,?
AT1G62540/AT1G62560,AT1G62540,AT1G62560,tandem,1,1,no,no,NA,0.109039856,0.398852257,0.273384077,ORTHO000752,ORTHO000752,8911,8911,8911,?,?
AT1G62570/AT1G62560,AT1G62570,AT1G62560,tandem,3,3,yes,no,NA,0.162950456,0.614765902,0.265060986,ORTHO000752,ORTHO000752,8911,8911,8911,?,?
AT1G62680/AT1G62670,AT1G62680,AT1G62670,tandem,3,3,no,no,NA,0.271976554,0.713832698,0.381008821,NA,NA,NA,NA,NA,?,?
AT1G62910/AT1G62914,AT1G62910,AT1G62914,tandem,2,1,no,no,NA,0.119439148,0.247863146,0.48187538,NA,NA,NA,NA,NA,?,?
AT1G63055/AT1G63057,AT1G63055,AT1G63057,tandem,0,0,no,no,NA,0.039587025,0.061573022,0.642928082,NA,NA,NA,NA,NA,?,?
AT1G63070/AT1G63080,AT1G63070,AT1G63080,tandem,2,2,no,no,NA,0.113016417,0.27328784,0.413543524,NA,NA,NA,NA,NA,?,?
AT1G63190/AT1G63200,AT1G63190,AT1G63200,tandem,0,0,no,no,NA,0.297976348,0.702756453,0.424010832,NA,NA,NA,NA,NA,?,?
AT1G63200/AT1G63205,AT1G63200,AT1G63205,tandem,0,0,no,no,NA,0.4084827,0.802360865,0.509100977,NA,NA,NA,NA,NA,?,?
AT1G63205/AT1G63206,AT1G63205,AT1G63206,tandem,0,0,no,no,NA,0.528030194,1.028290698,0.51350284,NA,NA,NA,NA,NA,?,?
AT1G63320/AT1G63330,AT1G63320,AT1G63330,tandem,1,1,no,no,NA,0.125503551,0.162184794,0.773830566,NA,NA,NA,NA,NA,?,?
AT1G63350/AT1G63360,AT1G63350,AT1G63360,tandem,1,1,no,no,NA,0.200273935,0.355312703,0.563655432,NA,NA,NA,NA,NA,?,?
AT1G63470/AT1G63480,AT1G63470,AT1G63480,tandem,2,2,no,no,NA,0.121388545,0.268489815,0.452116014,NA,NA,NA,NA,NA,?,?
AT1G63550/AT1G63560,AT1G63550,AT1G63560,tandem,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G63560/AT1G63570,AT1G63560,AT1G63570,tandem,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT1G63580/AT1G63570,AT1G63580,AT1G63570,tandem,1,1,no,no,NA,0.4890217,0.757200683,0.645828393,NA,NA,NA,NA,NA,?,?
AT1G63580/AT1G63590,AT1G63580,AT1G63590,tandem,3,3,no,no,NA,0.238605106,0.350285219,0.681173778,NA,NA,NA,NA,NA,?,?
AT1G63600/AT1G63590,AT1G63600,AT1G63590,tandem,3,3,no,no,NA,0.419936275,0.647302381,0.648748232,NA,NA,NA,NA,NA,?,?
AT1G63730/AT1G63740,AT1G63730,AT1G63740,tandem,2,2,no,no,NA,0.182634995,0.360163819,0.507088678,NA,NA,NA,NA,NA,?,?
AT1G63860/AT1G63870,AT1G63860,AT1G63870,tandem,2,1,no,no,NA,0.293286701,0.494871904,0.592651753,NA,NA,NA,NA,NA,?,?
AT1G63870/AT1G63880,AT1G63870,AT1G63880,tandem,1,0,no,no,NA,0.218236755,0.470233361,0.464103088,NA,NA,NA,NA,NA,?,?
AT1G64020/AT1G64030,AT1G64020,AT1G64030,tandem,1,1,no,no,NA,0.432871796,0.299666718,1.444510752,NA,NA,NA,NA,NA,?,?
AT1G64105/AT1G64100,AT1G64105,AT1G64100,tandem,1,1,no,no,NA,0.021729404,0.001566171,13.8742194,NA,NA,NA,NA,NA,?,?
AT1G64255/AT1G64260,AT1G64255,AT1G64260,tandem,1,1,no,no,NA,0.261755486,0.471916428,0.554664916,NA,NA,NA,NA,NA,?,?
AT1G64290/AT1G64295,AT1G64290,AT1G64295,tandem,2,2,no,no,NA,0.162073293,0.217521705,0.745090211,NA,NA,NA,NA,NA,?,?
AT1G64580/AT1G64583,AT1G64580,AT1G64583,tandem,3,2,no,no,NA,0.292563789,0.55210394,0.529907083,NA,NA,NA,NA,NA,?,?
AT1G64920/AT1G64910,AT1G64920,AT1G64910,tandem,3,3,no,no,NA,0.10906275,0.444022228,0.245624528,NA,NA,NA,NA,NA,?,?
AT1G64930/AT1G64940,AT1G64930,AT1G64940,tandem,3,3,no,no,NA,0.068193331,0.275557829,0.247473755,NA,NA,NA,NA,NA,?,?
AT1G64950/AT1G64940,AT1G64950,AT1G64940,tandem,3,3,yes,no,NA,0.033406332,0.152401156,0.219199989,NA,NA,NA,NA,NA,?,?
AT1G65120/AT1G65130,AT1G65120,AT1G65130,tandem,2,2,no,no,NA,0.236827578,0.351904261,0.672988663,NA,NA,NA,NA,NA,?,?
AT1G65130/AT1G65140,AT1G65130,AT1G65140,tandem,1,1,no,no,NA,1.742948708,0.331572894,5.256607941,NA,NA,NA,NA,NA,?,?
AT1G65160/AT1G65170,AT1G65160,AT1G65170,tandem,0,0,no,no,NA,0.928136419,0.434554529,2.135834185,NA,NA,NA,NA,NA,?,?
AT1G65486/AT1G65490,AT1G65486,AT1G65490,tandem,0,0,no,no,NA,0.164224025,0.212268302,0.773662498,NA,NA,NA,NA,NA,?,?
AT1G65490/AT1G65500,AT1G65490,AT1G65500,tandem,0,0,no,no,NA,0.171627776,0.22820658,0.752071987,NA,NA,NA,NA,NA,?,?
AT1G65630/AT1G65640,AT1G65630,AT1G65640,tandem,1,1,no,no,NA,0.299569005,0.653508211,0.458401287,ORTHO004186,ORTHO004186,9041,9041,9041,?,?
AT1G65680/AT1G65681,AT1G65680,AT1G65681,tandem,0,0,no,no,NA,0.471767803,1.471130097,0.320683945,ORTHO002398,NA,7083,NA,7083,?,?
AT1G65740/AT1G65760,AT1G65740,AT1G65760,tandem,0,0,no,no,NA,0.171984122,0.323508417,0.531621783,NA,NA,NA,NA,NA,?,?
AT1G65760/AT1G65770,AT1G65760,AT1G65770,tandem,0,0,no,no,NA,0.331579746,0.490393191,0.676150794,NA,NA,NA,NA,NA,?,?
AT1G65790/AT1G65800,AT1G65790,AT1G65800,tandem,0,0,no,no,NA,0.071440047,0.199353745,0.358358187,NA,NA,NA,NA,NA,?,?
AT1G65890/AT1G65880,AT1G65890,AT1G65880,tandem,1,1,yes,no,NA,0.041717646,0.197439955,0.211292826,NA,NA,NA,NA,NA,?,?
AT1G65980/AT1G65970,AT1G65980,AT1G65970,tandem,3,3,yes,no,NA,0.027350341,0.338988843,0.080682129,ORTHO006535,ORTHO006535,4410,4410,4410,?,?
AT1G66210/AT1G66220,AT1G66210,AT1G66220,tandem,0,0,no,no,NA,0.328137301,1.101287051,0.297958012,NA,NA,NA,NA,NA,?,?
AT1G66280/AT1G66270,AT1G66280,AT1G66270,tandem,2,3,yes,yes,NA,0.041918627,0.177291584,0.236438902,NA,NA,NA,NA,NA,?,?
AT1G66290/AT1G66300,AT1G66290,AT1G66300,tandem,0,0,no,no,NA,0.235812535,0.299671665,0.786903009,NA,NA,NA,NA,NA,?,?
AT1G66300/AT1G66310,AT1G66300,AT1G66310,tandem,0,0,no,no,NA,0.154618396,0.282124406,0.548050408,NA,NA,NA,NA,NA,?,?
AT1G66310/AT1G66320,AT1G66310,AT1G66320,tandem,1,1,no,no,NA,0.21899164,0.325458435,0.672871302,NA,NA,NA,NA,NA,?,?
AT1G66370/AT1G66380,AT1G66370,AT1G66380,tandem,1,1,no,no,NA,0.111280532,0.331429283,0.335759505,NA,NA,NA,NA,NA,?,?
AT1G66380/AT1G66390,AT1G66380,AT1G66390,tandem,0,0,no,no,NA,0.063347854,0.168934951,0.374983707,NA,NA,NA,NA,NA,?,?
AT1G66440/AT1G66450,AT1G66440,AT1G66450,tandem,2,2,no,no,NA,0.271954059,0.444290805,0.612108233,NA,NA,NA,NA,NA,?,?
AT1G66620/AT1G66630,AT1G66620,AT1G66630,tandem,1,1,no,no,NA,0.406254477,0.78125994,0.519999115,NA,NA,NA,NA,NA,?,?
AT1G66620/AT1G66610,AT1G66620,AT1G66610,tandem,1,1,no,no,NA,0.234740334,0.35298258,0.665019598,NA,NA,NA,NA,NA,?,?
AT1G66650/AT1G66660,AT1G66650,AT1G66660,tandem,2,2,no,no,NA,0.387867816,0.793618,0.488733643,NA,NA,NA,NA,NA,?,?
AT1G66700/AT1G66720,AT1G66700,AT1G66720,tandem,3,3,no,no,NA,0.148715942,0.57837501,0.257127191,NA,NA,NA,NA,NA,?,?
AT1G66700/AT1G66690,AT1G66700,AT1G66690,tandem,4,4,no,no,NA,0.037810113,0.294722035,0.128290757,NA,NA,NA,NA,NA,?,?
AT1G66852/AT1G66855,AT1G66852,AT1G66855,tandem,0,0,no,no,NA,0.183392778,0.299524378,0.612279973,NA,NA,NA,NA,NA,?,?
AT1G66910/AT1G66920,AT1G66910,AT1G66920,tandem,1,1,no,no,NA,0.375415337,0.614961689,0.61046947,NA,NA,NA,NA,NA,?,?
AT1G66920/AT1G66930,AT1G66920,AT1G66930,tandem,3,2,no,no,NA,0.255300394,0.603393033,0.423107958,NA,NA,NA,NA,NA,?,?
AT1G66970/AT1G66980,AT1G66970,AT1G66980,tandem,0,0,no,no,NA,0.14384042,0.245157437,0.586726724,ORTHO000374_1,ORTHO000374_1,2423,2423,2423,?,?
AT1G67450/AT1G67455,AT1G67450,AT1G67455,tandem,0,0,no,no,NA,0.393373658,0.318464423,1.235220105,NA,NA,NA,NA,NA,?,?
AT1G67980/AT1G67990,AT1G67980,AT1G67990,tandem,3,3,no,no,NA,0.133958233,0.491906839,0.272324396,NA,NA,NA,NA,NA,?,?
AT1G68390/AT1G68380,AT1G68390,AT1G68380,tandem,1,1,no,no,NA,0.258518389,0.722836772,0.357644213,NA,NA,NA,NA,NA,?,?
AT1G68905/AT1G68907,AT1G68905,AT1G68907,tandem,1,1,no,no,NA,0.276495483,0.399927916,0.691363298,NA,NA,NA,NA,NA,?,?
AT1G69520/AT1G69523,AT1G69520,AT1G69523,tandem,2,2,no,no,NA,0.347743828,1.050280412,0.331096176,NA,NA,NA,NA,NA,?,?
AT1G69526/AT1G69523,AT1G69526,AT1G69523,tandem,3,3,no,no,NA,0.298767865,1.504426286,0.198592558,NA,NA,NA,NA,NA,?,?
